,Title,Star Rating,Price,Link
0,A Light in the Attic,Three,£51.77,http://a-light-in-the-attic_1000/index.html
1,Tipping the Velvet,One,£53.74,http://tipping-the-velvet_999/index.html
2,Soumission,One,£50.10,http://soumission_998/index.html
3,Sharp Objects,Four,£47.82,http://sharp-objects_997/index.html
4,Sapiens: A Brief History of Humankind,Five,£54.23,http://sapiens-a-brief-history-of-humankind_996/index.html
5,The Requiem Red,One,£22.65,http://the-requiem-red_995/index.html
6,The Dirty Little Secrets of Getting Your Dream Job,Four,£33.34,http://the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,£17.93,http://the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,£22.60,http://the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
9,The Black Maria,One,£52.15,http://the-black-maria_991/index.html
10,"Starving Hearts (Triangular Trade Trilogy, #1)",Two,£13.99,http://starving-hearts-triangular-trade-trilogy-1_990/index.html
11,Shakespeare's Sonnets,Four,£20.66,http://shakespeares-sonnets_989/index.html
12,Set Me Free,Five,£17.46,http://set-me-free_988/index.html
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,£52.29,http://scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
14,Rip it Up and Start Again,Five,£35.02,http://rip-it-up-and-start-again_986/index.html
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,£57.25,http://our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
16,Olio,One,£23.88,http://olio_984/index.html
17,Mesaerion: The Best Science Fiction Stories 1800-1849,One,£37.59,http://mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
18,Libertarianism for Beginners,Two,£51.33,http://libertarianism-for-beginners_982/index.html
19,It's Only the Himalayas,Two,£45.17,http://its-only-the-himalayas_981/index.html
20,In Her Wake,One,£12.84,http://in-her-wake_980/index.html
21,How Music Works,Two,£37.32,http://how-music-works_979/index.html
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Three,£30.52,http://foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
23,Chase Me (Paris Nights #2),Five,£25.27,http://chase-me-paris-nights-2_977/index.html
24,Black Dust,Five,£34.53,http://black-dust_976/index.html
25,Birdsong: A Story in Pictures,Three,£54.64,http://birdsong-a-story-in-pictures_975/index.html
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Three,£22.50,http://americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
27,Aladdin and His Wonderful Lamp,Three,£53.13,http://aladdin-and-his-wonderful-lamp_973/index.html
28,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Five,£40.30,http://worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
29,Wall and Piece,Four,£44.18,http://wall-and-piece_971/index.html
30,The Four Agreements: A Practical Guide to Personal Freedom,Five,£17.66,http://the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Three,£31.05,http://the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
32,The Elephant Tree,Five,£23.82,http://the-elephant-tree_968/index.html
33,The Bear and the Piano,One,£36.89,http://the-bear-and-the-piano_967/index.html
34,Sophie's World,Five,£15.94,http://sophies-world_966/index.html
35,Penny Maybe,Three,£33.29,http://penny-maybe_965/index.html
36,Maude (1883-1993):She Grew Up with the country,Two,£18.02,http://maude-1883-1993she-grew-up-with-the-country_964/index.html
37,"In a Dark, Dark Wood",One,£19.63,http://in-a-dark-dark-wood_963/index.html
38,Behind Closed Doors,Four,£52.22,http://behind-closed-doors_962/index.html
39,You can't bury them all: Poems,Two,£33.63,http://you-cant-bury-them-all-poems_961/index.html
40,Slow States of Collapse: Poems,Three,£57.31,http://slow-states-of-collapse-poems_960/index.html
41,Reasons to Stay Alive,Two,£26.41,http://reasons-to-stay-alive_959/index.html
42,Private Paris (Private #10),Five,£47.61,http://private-paris-private-10_958/index.html
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Five,£23.11,http://higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
44,Without Borders (Wanderlove #1),Two,£45.07,http://without-borders-wanderlove-1_956/index.html
45,When We Collided,One,£31.77,http://when-we-collided_955/index.html
46,"We Love You, Charlie Freeman",Five,£50.27,http://we-love-you-charlie-freeman_954/index.html
47,Untitled Collection: Sabbath Poems 2014,Four,£14.27,http://untitled-collection-sabbath-poems-2014_953/index.html
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Four,£44.18,http://unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
49,Unicorn Tracks,Three,£18.78,http://unicorn-tracks_951/index.html
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",One,£25.52,http://unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
